Order, Astronaut, Date, Mission
457, Gregory Chamitoff, 2008-05-31, STS-124
, Robert Garan, 2008-05-31, STS-124
, Kenneth Ham, 2008-05-31, STS-124
, Akihiko Hoshide, 2008-05-31, STS-124
, Karen Nyberg, 2008-05-31, STS-124
462, Jing Haipen, 2008-09-25, ShenZhou 7
, Liu Buoming, 2008-09-25, ShenZhou 7
, Zhai Zhigang, 2008-09-25, ShenZhou 7
465, Richard Garriott, 2008-10-12, Soyuz TMA-13
466, Eric Boe, 2008-11-15, STS-126
, Stephen Bowen, 2008-11-15, STS-126
, Robert Kimbrough, 2008-11-15, STS-126
469, Joseph Acaba, 2009-03-15, STS-119
, Dominic Antonelli, 2009-03-15, STS-119
, Richard Arnold, 2009-03-15, STS-119
472, Michael Barratt, 2009-03-26, Soyuz TMA-14
473, Andrew Feustel, 2009-05-11, STS-125
, Michael Good, 2009-05-11, STS-125
, Gregory C. Johnson, 2009-05-11, STS-125
, K. Megan McArthur, 2009-05-11, STS-125
477, Roman Romanenko, 2009-05-27, Soyuz TMA-15
478, Christopher Cassidy, 2009-07-15, STS-127
, Douglas Hurley, 2009-07-15, STS-127
, Timothy Kopra, 2009-07-15, STS-127
, Thomas Marshburn, 2009-07-15, STS-127
482, Kevin Ford, 2009-08-29, STS-128
, Jose Hernandez, 2009-08-29, STS-128
, Nicole Stott, 2009-08-29, STS-128
485, Guy Laliberté, 2009-09-30, Soyuz TMA-16
, Maksim Surayev, 2009-09-30, Soyuz TMA-16
487, Randolph Bresnik, 2009-11-12, STS-129
, Robert Satcher, 2009-11-12, STS-129
, Barry Wilmore, 2009-11-12, STS-129
490, Timothy Creamer, 2009-12-20, Soyuz TMA-17
491, Terry Virts, 2010-02-08, STS-130
492, Mikhail Korniyenko, 2010-04-02, Soyuz TMA-18
, Aleksandr Skvortsov, 2010-04-02, Soyuz TMA-18
494, James Dutton, 2010-04-05, STS-131
, Dorothy Metcalf-Lindenburger, 2010-04-05, STS-131
, Naoko Yamazaki, 2010-04-05, STS-131
497, Shannon Walker, 2010-06-15, Soyuz TMA-19
498, Oleg Skripochka, 2010-10-07, Soyuz TMA-01M
499, Dmitry Kondratiyev, 2010-12-15, Soyuz TMA-20
500, Andrei Borisenko, 2011-04-04, Soyuz TMA-21
, Aleksandr Samokutyayev, 2011-04-04, Soyuz TMA-21
502, Satoshi Furukawa, 2011-06-07, Soyuz TMA-02M
503, Anotoli Ivanishin, 2011-11-14, Soyuz TMA-22
, Anton Shkaplerov, 2011-11-14, Soyuz TMA-22
505, Sergey Revin, 2012-05-15, Soyuz TMA-04M
506, Liu Yang, 2012-06-16, ShenZhou 9
, Liu Wang, 2012-06-16, ShenZhou 9
508, Oleg Novitskiy, 2012-10-23, Soyuz TMA-06M
, Yevgeni Tarelkin, 2012-10-23, Soyuz TMA-06M
510, Aleksandr Misurkin, 2013-03-28, Soyuz TMA-08M
511, Luca Parmitano, 2013-05-28, Soyuz TMA-09M
512, Wang Ya-ping, 2013-06-11, Shenzhou 10
, Zhang Xiao-guang, 2013-06-11, Shenzhou 10
514, Michael Hopkins, 2013-09-25, Soyuz TMA-10M
, Sergei Ryazansky, 2013-09-25, Soyuz TMA-10M
516, Oleg Artemyev, 2014-03-25, Soyuz TMA-12M
517, Alexander Gerst, 2014-05-28, Soyuz TMA-13M
, Gregory Wiseman, 2014-05-28, Soyuz TMA-13M
519, Elena Serova, 2014-09-25, Soyuz TMA-14M
520, Samantha Cristoforetti, 2014-11-23, Soyuz TMA-15M
521, Kjell Lindgren, 2015-07-22, Soyuz TMA-17M
, Kimiya Yui, 2015-07-22, Soyuz TMA-17M
523, Aydyn Aimbetov, 2015-09-02, Soyuz TMA-18M
, Andreas Mogensen, 2015-09-02, Soyuz TMA-18M
525, Timothy Peake, 2015-12-15, Soyuz TMA-19M
526, Aleksei Ovchinin, 2016-03-18, Soyuz TMA-20M
527, Takuya Onishi, 2016-07-07, Soyuz MS-01
, Kathleen Rubins, 2016-07-07, Soyuz MS-01
529, Chen Dong, 2016-10-16, Shenzhou 11
530, Sergei Ryzhikov, 2016-10-19, Soyuz MS-02
531, Thomas Pesquet, 2016-11-17, Soyuz MS-03
532, Jack Fischer, 2017-04-20, Soyuz MS-04
533, Mark Vande Hei, 2017-09-12, Soyuz MS-06
534, Norishige Kanai, 2017-12-17, Soyuz MS-07
, Scott Tingle, 2017-12-17, Soyuz MS-07
